COMMAREA,White,Asian,Black,Hispanic,Pacific Islander,Native,Other
1,155002,6369,22824,0,265,4592,19392
2,93661,22021,16107,0,205,3003,16068
3,44316,7174,12409,0,90,1350,6646
4,57326,5674,2577,0,121,1493,6409
5,63432,3717,4475,0,136,1310,4659
6,102803,10009,5694,0,185,1486,7831
7,74565,6706,3810,0,85,843,4385
8,86791,14270,9942,0,153,905,5947
9,10708,441,178,0,6,151,972
10,38026,3100,804,0,57,756,5072
11,19498,3258,805,0,39,580,5044
12,15909,3046,439,0,18,226,2090
13,9871,5078,1024,0,18,347,2862
14,23731,7881,3024,0,107,1952,18948
15,41753,4569,2698,0,129,2294,21810
16,32681,5320,3203,0,116,1803,17551
17,32010,2685,1451,0,67,1174,11653
18,7310,562,1176,0,20,854,7224
19,31848,2112,4281,0,202,4333,52217
20,8968,442,1483,0,69,1501,16098
21,21451,2185,1934,0,61,1366,15285
22,50956,4590,4888,0,176,2077,20609
23,21067,1199,18663,0,127,2000,26031
24,69526,7102,7712,0,166,1790,14884
25,10359,688,74453,0,78,1470,15083
26,835,54,16152,0,17,205,860
27,1932,177,17429,0,27,270,1265
28,40304,14394,17800,0,112,875,6109
29,11727,857,29074,0,44,641,4541
30,26787,825,7237,0,66,4642,52259
31,19579,1656,2524,0,46,2515,20802
32,18052,6101,3559,0,46,316,1930
33,2158,1281,1798,0,9,71,263
34,1940,10094,1645,0,10,67,396
35,6723,2941,14669,0,67,311,1025
36,352,113,6370,0,5,68,178
37,212,31,2057,0,10,32,366
38,1085,174,17723,0,28,281,499
39,4165,1526,13877,0,28,249,788
40,354,49,12168,0,10,153,199
41,14937,5471,9566,0,66,420,1989
42,7063,1236,23206,0,40,484,1055
43,1963,296,49471,0,49,716,1025
44,4699,770,31529,0,47,373,733
45,211,70,9229,0,9,81,148
46,2322,97,19151,0,18,429,3407
47,47,12,2468,0,2,30,47
48,443,74,12315,0,9,142,463
49,910,125,34532,0,23,400,739
50,796,45,5997,0,13,75,369
51,2600,68,8904,0,18,344,3765
52,10898,133,1242,0,40,1293,13916
53,1105,109,27171,0,38,248,1592
54,185,22,6966,0,7,75,154
55,5983,123,1092,0,1,353,4480
56,23579,686,3852,0,55,1583,15435
57,6074,672,260,0,19,851,9287
58,21805,5426,1011,0,80,2846,30157
59,5897,4555,517,0,33,852,7114
60,16552,14760,1366,0,51,705,7344
61,16495,1419,8217,0,72,1744,22101
62,8329,593,442,0,15,1261,12488
63,13231,227,1650,0,57,2207,27883
64,16110,441,776,0,12,991,11470
65,15259,306,1329,0,48,1974,23434
66,14535,329,21449,0,67,2077,26531
67,1728,148,23856,0,44,620,4673
68,906,78,22418,0,21,317,1295
69,4035,341,30813,0,51,293,834
70,11877,350,18335,0,24,1510,15565
71,1069,178,43365,0,46,488,1076
72,12442,322,7515,0,22,288,1018
73,553,86,24644,0,12,199,410
74,16972,208,894,0,21,261,1414
75,10270,355,15609,0,33,403,2126
76,18471,3125,2390,0,42,364,3785
77,77087,8692,10926,0,148,1774,9147
