,the_geom,School_ID,Short_Name,Address,Grade_Cat,Lat,Long,Comm_Area
0,POINT (-87.6266211792559 41.81924917367548),610590,BRONZEVILLE CLASSICAL,8 W ROOT ST,ES,41.81924917,-87.62662118,38
1,POINT (-87.64556149971644 41.907796795867235),400113,CICS - CHICAGOQUEST HS,1443 N OGDEN AVE,HS,41.9077968,-87.6455615,8
2,POINT (-87.55990690211836 41.74267138259229),400168,GREAT LAKES,8401 S SAGINAW AVE,ES,41.74267138,-87.5599069,46
3,POINT (-87.63756486350432 41.91389953306062),610033,LASALLE,1734 N ORLEANS ST,ES,41.91389953,-87.63756486,7
4,POINT (-87.73599882158203 41.92791840313385),609716,KELVYN PARK HS,4343 W WRIGHTWOOD AVE,HS,41.9279184,-87.73599882,20
5,POINT (-87.6069799087892 41.73013138496663),400150,YCCS - CHATHAM,9035 S LANGLEY AVE,HS,41.73013138,-87.60697991,44
6,POINT (-87.7240426330541 41.9939423332521),610182,SOLOMON,6206 N HAMLIN AVE,ES,41.99394233,-87.72404263,13
7,POINT (-87.7317773871337 41.860517738550094),610005,HUGHES C,4247 W 15TH ST,ES,41.86051774,-87.73177739,29
8,POINT (-87.67188730719722 41.790591287271845),609986,HENDERSON,5650 S WOLCOTT AVE,ES,41.79059129,-87.67188731,67
9,POINT (-87.68784229508248 41.87467299509577),610571,OMBUDSMAN - WEST HS,2401 W. CONGRESS PKWY,HS,41.874673,-87.6878423,28
10,POINT (-87.73119286567511 41.84560242225679),609870,CORKERY,2510 S KILDARE AVE,ES,41.84560242,-87.73119287,30
11,POINT (-87.76714284601218 41.90679057463541),610235,YOUNG ES,1434 N PARKSIDE AVE,ES,41.90679057,-87.76714285,25
12,POINT (-87.70419859112478 41.81106861004231),610170,COLUMBIA EXPLORERS,4520 S KEDZIE AVE,ES,41.81106861,-87.70419859,58
13,POINT (-87.68326359189952 41.975894300746795),609852,CHAPPELL,2135 W FOSTER AVE,ES,41.9758943,-87.68326359,4
14,POINT (-87.74009743580562 41.80757850768547),400009,GLOBAL CITIZENSHIP,4647 W 47TH ST,ES,41.80757851,-87.74009744,56
15,POINT (-87.58958949846885 41.73313231350861),610312,MCDOWELL,1419 E 89TH ST,ES,41.73313231,-87.5895895,48
16,POINT (-87.64488797547315 41.857207856770316),400134,YCCS - ADDAMS,1814 S UNION AVE,HS,41.85720786,-87.64488798,31
17,POINT (-87.73166568492086 41.74710687938422),610185,STEVENSON,8010 S KOSTNER AVE,ES,41.74710688,-87.73166568,70
18,POINT (-87.66220943342512 41.85884887593743),610013,PILSEN,1420 W 17TH ST,ES,41.85884888,-87.66220943,31
19,POINT (-87.63895772518782 41.66487335006054),610091,BROWN R,12607 S UNION AVE,ES,41.66487335,-87.63895773,53
20,POINT (-87.72204165467052 41.80306020749633),609756,CURIE HS,4959 S ARCHER AVE,HS,41.80306021,-87.72204165,57
21,POINT (-87.75332487133475 41.872885005780745),610244,CLARK HS,5101 W HARRISON ST,HS,41.87288501,-87.75332487,25
22,POINT (-87.64676673439087 41.73412547292367),610369,JACKSON M,917 W 88TH ST,ES,41.73412547,-87.64676673,71
23,POINT (-87.55648708347297 41.759748640064636),400175,CAMELOT - EXCEL SOUTH SHORE HS,7530 S SOUTH SHORE DR,HS,41.75974864,-87.55648708,43
24,POINT (-87.66866060376516 41.912357908092105),609828,BURR,1621 W WABANSIA AVE,ES,41.91235791,-87.6686606,24
25,POINT (-87.66915866998328 41.68941960633778),609908,ESMOND,1865 W MONTVALE AVE,ES,41.68941961,-87.66915867,75
26,POINT (-87.71866612901145 41.870742162716034),609954,GREGORY,3715 W POLK ST,ES,41.87074216,-87.71866613,27
27,POINT (-87.69494501175214 41.899376573212),400022,CHIARTS HS,2714 W AUGUSTA BLVD,HS,41.89937657,-87.69494501,24
28,POINT (-87.68380143063956 41.9184862785648),610138,PULASKI,2230 W MCLEAN AVE,ES,41.91848628,-87.68380143,22
29,POINT (-87.76104831560825 41.920059399819515),609679,PROSSER HS,2148 N LONG AVE,HS,41.9200594,-87.76104832,19
30,POINT (-87.66722708445168 41.85603119276117),609867,COOPER,1624 W 19TH ST,ES,41.85603119,-87.66722708,31
31,POINT (-87.574815637322 41.74827412767004),610052,MANN,8050 S CHAPPEL AVE,ES,41.74827413,-87.57481564,46
32,POINT (-87.6475771651966 41.70660285984552),610128,GARVEY,10309 S MORGAN ST,ES,41.70660286,-87.64757717,73
33,POINT (-87.7109873318466 41.79234608462285),610226,SANDOVAL,5534 S SAINT LOUIS AVE,ES,41.79234608,-87.71098733,63
34,POINT (-87.71105882217729 41.79520055536741),610543,SOLORIO HS,5400 S ST LOUIS AVE,HS,41.79520056,-87.71105882,63
35,POINT (-87.81116978484948 42.004407921975805),609899,EBINGER,7350 W PRATT AVE,ES,42.00440792,-87.81116978,9
36,POINT (-87.55714197102567 41.754365132036085),609806,BRADWELL,7736 S BURNHAM AVE,ES,41.75436513,-87.55714197,43
37,POINT (-87.70204158577978 41.86414856767653),610499,COLLINS HS,1313 S SACRAMENTO DR,HS,41.86414857,-87.70204159,29
38,POINT (-87.7104924284939 41.95089127550272),400027,CICS - IRVING PARK,3820 N SPAULDING AVE,ES,41.95089128,-87.71049243,16
39,POINT (-87.65728743906132 41.92320352237399),610059,MAYER,2250 N CLIFTON AVE,ES,41.92320352,-87.65728744,7
40,POINT (-87.6921150637715 41.78090389857652),610057,FAIRFIELD,6201 S FAIRFIELD AVE,ES,41.7809039,-87.69211506,66
41,POINT (-87.65909480291802 41.86330140903392),400091,CHICAGO TECH HS,1301 W 14TH ST,HS,41.86330141,-87.6590948,28
42,POINT (-87.7051078304837 41.88917813530736),610257,MORTON,431 N TROY ST,ES,41.88917814,-87.70510783,23
43,POINT (-87.64133454073053 41.7653349800333),610299,KING ES,644 W 71ST ST,ES,41.76533498,-87.64133454,68
44,POINT (-87.69989559043218 41.870938956577234),609722,MANLEY HS,2935 W POLK ST,HS,41.87093896,-87.69989559,27
45,POINT (-87.71060878865048 41.97150444375455),610212,ALBANY PARK,4929 N SAWYER AVE,ES,41.97150444,-87.71060879,14
46,POINT (-87.68964723523982 41.8159094866974),610174,SHIELDS,4250 S ROCKWELL ST,ES,41.81590949,-87.68964724,58
47,POINT (-87.77912305213582 41.98367169602941),609995,HITCH,5625 N MCVICKER AVE,ES,41.9836717,-87.77912305,10
48,POINT (-87.70313876271742 41.86183619185465),610274,JOHNSON,1420 S ALBANY AVE,ES,41.86183619,-87.70313876,29
49,POINT (-87.79154724940719 41.98296098703244),609734,TAFT HS,6530 W BRYN MAWR AVE,HS,41.98296099,-87.79154725,10
50,POINT (-87.65374921076256 41.70585893636921),609762,JULIAN HS,10330 S ELIZABETH ST,HS,41.70585894,-87.65374921,73
51,POINT (-87.79060442456196 41.77655627006086),610087,BLAIR,6751 W 63RD PL,ES,41.77655627,-87.79060442,64
